SN,StnID,StationName,LatDD,LongDD,Region,Column1,Air_T,RH,Pluvio,TBRG,AvgWS,AvgWD,Sol Rad,Soil Temp (5 cm),Soil Moisture & Temp (5 and 20 cm),Soil Moisture & Temp (50 and 100 cm),Barometric Pressure
1,201,TREHERNE,49.635,-98.676,Central,371,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
2,202,STARBUCK,49.768,-97.664,Central,237,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
3,203,ST. PIERRE,49.449,-96.963,Eastern,244,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
4,204,GLADSTONE,50.142,-98.95,Central,279,2006,2006,2011.0,2006,2007,2007,2009,2007,2016.0,2018.0,2018.0
5,205,MOOSEHORN,51.333,-98.598,Interlake,253,2006,2006,2014.0,2006,2007,2007,2016,2015,2016.0,2018.0,2018.0
6,206,ARBORG,50.904,-97.273,Interlake,230,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
7,207,TEULON,50.381,-97.236,Interlake,249,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
8,208,SOURIS,49.63,-100.198,Southwest,449,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
9,209,BOISSEVAIN,49.24,-100.055,Southwest,503,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
10,210,SELKIRK,50.177,-96.794,Interlake,227,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
11,211,ST ROSE,51.082,-99.524,Northwest,263,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
12,212,CARMAN,49.498,-98.03,Central,271,2006,2006,2011.0,2006,2007,2007,2017,2007,2017.0,,
13,213,ETHELBERT,51.572,-100.488,Northwest,370,2006,2006,2019.0,2006,2007,2007,2019,2007,2019.0,2019.0,2019.0
14,214,HAMIOTA,50.185,-100.603,Southwest,527,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
15,215,RUSSELL,50.769,-101.297,Northwest,554,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
16,216,BIRTLE,50.411,-100.893,Southwest,542,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
17,217,DUGALD,49.826,-96.776,Eastern,245,2006,2006,2016.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0
18,218,ERIKSDALE,50.829,-98.111,Interlake,265,2006,2006,2014.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0
19,219,GRANDVIEW,51.185,-100.715,Northwest,439,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
20,220,KILLARNEY,49.148,-99.685,Southwest,511,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
21,221,MINNEDOSA,50.272,-99.762,Southwest,563,2006,2006,2014.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
22,222,MORRIS,49.361,-97.322,Central,239,2006,2006,2011.0,2006,2007,2007,2007,2007,2016.0,2018.0,2018.0
23,223,STEINBACH,49.55,-96.681,Eastern,258,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2019.0,2019.0
24,224,VIRDEN,49.878,-100.918,Southwest,442,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
25,225,WOODLANDS,50.161,-97.712,Interlake,252,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
26,230,WINKLER,49.122,-97.932,Central,279,2007,2007,2011.0,2007,2007,2007,2007,2007,2016.0,2018.0,2018.0
27,231,SWAN VALLEY,52.057,-101.49,Northwest,375,2007,2007,2016.0,2007,2007,2007,2017,2007,2016.0,2018.0,2018.0
28,232,PIERSON,49.215,-101.21,Southwest,470,2007,2007,2016.0,2007,2007,2007,2017,2007,2016.0,2018.0,2018.0
29,233,FORREST,50.054,-99.926,Southwest,502,2007,2007,2014.0,2007,2007,2007,2007,2007,2016.0,2018.0,2018.0
30,235,PORTAGE EAST,49.97,-98.254,Central,257,2008,2008,2014.0,2008,2008,2008,2008,2008,2016.0,2018.0,2018.0
31,237,ELM CREEK,49.68,-97.984,Central,264,2008,2008,2011.0,2008,2008,2008,2008,2008,2016.0,2019.0,2019.0
32,239,GLENBORO,49.547,-99.326,Southwest,373,2009,2009,2014.0,2009,2009,2009,2017,2009,2016.0,2018.0,2018.0
33,240,WAWANESA,49.636,-99.662,Southwest,374,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2019.0,2019.0
34,241,DELORAINE,49.148,-100.491,Southwest,514,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2018.0,2018.0
35,242,MANITOU,49.245,-98.545,Central,485,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2018.0,2018.0
36,243,ST ADOLPHE,49.696,-97.118,Eastern,229,2011,2011,2011.0,2011,2011,2011,2011,2011,2016.0,2018.0,2018.0
37,244,ALTONA,49.095,-97.528,Central,246,2012,2012,2011.0,2012,2012,2012,2012,2012,2016.0,2018.0,2018.0
38,245,RESTON,49.576,-101.033,Southwest,481,2013,2013,2016.0,2013,2013,2013,2017,2013,2016.0,2018.0,2018.0
39,246,SOMERSET,49.414,-98.704,Central,476,2012,2012,2014.0,2012,2012,2012,2012,2012,2016.0,2018.0,2018.0
40,251,BEAUSEJOUR,50.116,-96.434,Eastern,235,2014,2014,2014.0,2014,2014,2014,2014,2014,2016.0,2019.0,2019.0
41,252,NARCISSE,50.702,-97.53,Interlake,278,2014,2014,2011.0,2014,2014,2014,2014,2014,2016.0,2018.0,2018.0
42,253,ALONSA,50.698,-99.068,Northwest,288,2015,2015,2011.0,2015,2015,2015,2015,2015,2016.0,2019.0,2019.0
43,255,MENISINO,49.097,-96.137,Eastern,349,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
44,314,CARBERRY,49.905,-99.354,Southwest,377,2007,2007,,2007,2011,2011,2017,2017,2017.0,,
45,501,CLEARWATER,49.118,-99.054,Central,457,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
46,502,CARTWRIGHT,49.088,-99.325,Central,465,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
47,503,BALDUR,49.356,-99.248,Central,432,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
48,504,FINDLAY,49.547,-100.782,Southwest,434,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
49,505,ARGUE,49.436,-100.308,Southwest,466,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
50,506,MINTO,49.428,-99.924,Southwest,472,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
51,507,WASKADA,49.088,-100.93,Southwest,452,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
52,508,MOUNTAINSIDE,49.13,-100.298,Southwest,584,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
53,509,NINETTE,49.326,-99.699,Southwest,470,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
54,510,MINITONAS,52.144,-100.882,Northwest,318,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
55,511,FORK RIVER,51.538,-100.006,Northwest,263,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
56,512,DRIFTING RIVER,51.358,-100.361,Northwest,338,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2017.0,2018.0
57,513,WINDYGATES,49.008,-98.38,Central,476,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
58,514,SNOWFLAKE,49.016,-98.673,Central,476,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
59,515,TAYLOR'S POINT,50.862,-98.448,Interlake,250,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
60,516,INWOOD,50.507,-97.622,Interlake,266,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
61,517,FISHERTON,51.185,-97.769,Interlake,253,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0
62,518,GARDENTON,49.088,-96.64,Eastern,298,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
63,519,ZHODA,49.252,-96.511,Eastern,305,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
64,520,RUTHENIA,50.827,-100.903,Northwest,591,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
65,521,VIVIAN,49.885,-96.411,Eastern,268,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
66,522,ELMA,49.875,-95.92,Eastern,284,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
67,523,OAKBURN,50.595,-100.672,Southwest,587,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
68,524,KANE,49.355,-97.704,Central,246,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
69,525,INGLIS,50.948,-101.259,Northwest,572,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
70,526,PIPE LAKE,51.316,-100.693,Northwest,530,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2017.0,2018.0
71,527,SAN CLARA,51.421,-101.398,Northwest,606,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
72,528,RORKETON,51.333,-99.493,Northwest,260,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
73,529,ST. LAZARE,50.447,-101.231,Southwest,503,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
74,531,KOLA,49.857,-101.37,Southwest,535,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
75,740,BEDE,49.402,-100.93,Southwest,437,2013,2013,2014.0,2013,2013,2013,2016,2013,2016.0,2018.0,2018.0
76,530,BRUNKILD ,49.591,-97.518,Central,238,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2018.0,2018.0
77,532,KELD,50.993,-100.227,Northwest,428,2016,2016,2016.0,2016,2016,2016,2016,2016,2016.0,2017.0,2018.0
78,533,AUSTIN,49.9607,-98.9054,Central,303,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
79,534,BAGOT,49.9601,-98.6367,Central,285,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
80,535,DOMINION CITY,49.1631,-97.1454,Eastern,237,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
81,536,ELIE,49.96,-97.7463,Central,240,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
82,537,MARCHAND,49.4294,-96.4428,Eastern,300,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
83,538,ROSA,49.2415,-96.8135,Eastern,281,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
84,539,LAKELAND,50.2548,-98.6376,Central,260,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
85,540,PLUMAS,50.4029,-99.007,Central,273,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
86,541,NEWDALE,50.3389,-100.1616,Southwest,606,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
87,542,DAND,49.3776,-100.5387,Southwest,472,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
88,543,SINCLAIR,49.4919,-101.3028,Southwest,496,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
89,544,ALEXANDER,49.8134,-100.3721,Southwest,431,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
90,545,EDEN,50.4324,-99.4392,Southwest,384,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
91,546,MCAULEY,50.182,-101.4239,Southwest,506,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
92,547,MINIOTA,50.137,-100.9434,Southwest,470,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
93,548,KENTON,50.0187,-100.5926,Southwest,474,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
94,549,LAKE AUDY,50.6803,-100.2593,Southwest,569,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
95,550,RIVERS,50.0514,-100.2341,Southwest,488,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
96,551,NEEPAWA,50.1889,-99.432,Southwest,379,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
97,552,REEDY CREEK,50.9461,-98.9286,Northwest,251,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
98,553,LAURIER,50.8753,-99.6024,Northwest,303,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
99,554,ST. CLAUDE,49.6649,-98.3329,Central,305,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
100,555,STONEWALL,50.1227,-97.3033,Interlake,247,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
101,556,LAKE FRANCIS,50.3583,-97.8755,Interlake,261,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
102,557,LAC DU BONNET,50.2796,-96.0507,Eastern,259,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
103,558,SHILO,49.8277,-99.6988,Southwest,378,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
104,559,HOLLAND,49.591,-98.984,Central,372,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
105,560,PRAWDA,49.6477,-95.7241,Eastern,306,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
106,561,SPRAGUE LAKE,49.3325,-95.4056,Eastern,358,2017,2017,2017.0,2017,2017,2017,2017,2017,,,
107,562,POPLARFIELD,50.8858,-97.603,Interlake,270,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
108,563,BIRCH RIVER,52.3472,-101.1099,Northwest,306,2017,2017,2017.0,2017,2017,2017,2017,2017,2017.0,2017.0,2018.0
109,564,RIVERTON,51.0203,-97.0625,Interlake,222,2020,2020,2020.0,2020,2020,2020,2020,2020,2020.0,2020.0,2020.0
110,565,STEAD,50.4138,-96.4111,Eastern,237,2020,2020,2020.0,2020,2020,2020,2020,2020,2020.0,2020.0,2020.0
111,566,BRANDONNH,49.876,-99.909,Southwest,394,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0
112,567,RICHER,49.6089,-96.5256,Eastern,280,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0
113,568,PETERSFIELD,50.2994,-97.0406,Interlake,230,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0
114,569,CLARKLEIGH,50.5947,-98.0035,Interlake,253,2021,2021,2021.0,2021,2021,2021,2021,2021,2021.0,2021.0,2021.0
115,570,SAINT LABRE,49.3116,-95.9831,Eastern,358,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
116,571,INGELOW,49.9674,-99.5919,Southwest,386,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
117,572,ERICKSON,50.5057,-99.9013,Southwest,632,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
118,573,JORDAN,49.3663,-98.0219,Central,268,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
119,574,AMARANTH,50.6424,-98.6686,Northwest,251,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
120,575,ASHVILLE,51.1623,-100.297,Northwest,342,2022,2022,2022.0,2022,2022,2022,2022,2022,2022.0,2022.0,2022.0
